entity,date,score_iso,score_lof,score_iso_norm,score_lof_norm,score_combined_norm,rank_combined,severity
user001,2025-12-31,-0.14618089941690776,-0.1965528428909853,0.08086150376350507,0.23546267881210084,0.15816209128780295,13.0,medium
user003,2025-12-31,-0.11822844143884215,-0.4573537510052802,0.17920979027689057,0.0,0.08960489513844529,21.0,low
user004,2025-12-31,-0.1443928031882723,-0.39499623825965324,0.08715276445855161,0.05629914060234153,0.07172595253044657,25.0,low
user005,2025-12-31,-0.12505934506416644,-0.3820437004917623,0.15517585138622533,0.06799326874895802,0.11158456006759168,16.0,medium
user006,2025-12-31,-0.07947449404197654,-0.3130561408121797,0.3155621756414411,0.13027831109913776,0.22292024337028943,12.0,medium
user007,2025-12-31,-0.1691632803624562,-0.3979150942808707,0.0,0.05366386734814914,0.02683193367407457,31.0,low
user008,2025-12-31,-0.1448235973881602,-0.31707603548789565,0.08563705262268638,0.12664897109518436,0.10614301185893538,18.0,low
user010,2025-12-31,-0.16781255971376163,-0.38165388971728054,0.004752392847226541,0.0683452072826577,0.03654880006494212,30.0,low
user011,2025-12-31,-0.1605044970937815,-0.3340094327555543,0.03046517406208651,0.11136074564052052,0.07091295985130351,27.0,low
user019,2025-12-31,-0.15644645566428245,-0.3715483517157414,0.04474303905359238,0.07746893720324943,0.061105988128420906,28.0,low
user022,2025-12-31,-0.15051547134955517,-0.4317297545611172,0.06561069030447388,0.023134485566937587,0.04437258793570573,29.0,low
user027,2025-12-31,-0.11757067309831071,-0.13547942143726477,0.18152409083910884,0.29060248458843374,0.23606328771377127,9.0,medium
user038,2025-12-31,-0.15412112075360723,-0.27508169004001615,0.05292452721517443,0.1645633370596811,0.10874393213742777,17.0,low
user039,2025-12-31,-0.1544670451260512,-0.35630286676845646,0.051707422468258143,0.09123324021673465,0.07147033134249639,26.0,low
user040,2025-12-31,-0.13035342838745168,-0.3374334885859067,0.13654908074899694,0.10826935549143543,0.12240921812021618,15.0,medium
user041,2025-12-31,-0.09792135405259872,-0.22555227332487648,0.25065850688284375,0.20928070105995006,0.2299696039713969,11.0,medium
user042,2025-12-31,0.11505578403640548,-0.28113843172963815,1.0,0.15909504082780476,0.5795475204139023,2.0,critical
user043,2025-12-31,-0.0728520830349193,-0.15575834601000538,0.3388625514310244,0.2722937680358309,0.3055781597334276,7.0,high
user044,2025-12-31,0.010094069360721214,-0.25634140212042933,0.6307013574276453,0.18148290389386612,0.4060921306607557,4.0,high
user046,2025-12-31,-0.13645502223192663,-0.38007203617525676,0.11508115474135863,0.06977337513370711,0.09242726493753287,20.0,low
user047,2025-12-31,0.05479375320637925,-0.4313031061435928,0.7879732981407014,0.023519682765933563,0.40574649045331745,5.0,high
user050,2025-12-31,-0.13931607531176649,-0.383997418519908,0.10501478890523452,0.06622936507286699,0.08562207698905075,22.0,low
user051,2025-12-31,0.06571737882965623,0.6502566330692763,0.8264071225795406,1.0,0.9132035612897703,1.0,critical
user053,2025-12-31,-0.14197433930752495,-0.3776432957649105,0.09566191878239165,0.07196615017921694,0.0838140344808043,23.0,low
user055,2025-12-31,-0.0013608979781454256,-0.39744394898795377,0.5903980534846305,0.05408923830863411,0.3222436458966323,6.0,high
user056,2025-12-31,-0.11719391965236958,-0.34173063769111756,0.18284966499346045,0.10438969783654513,0.14361968141500278,14.0,medium
user075,2025-12-31,-0.10797230695391669,-0.05287734535350319,0.21529510533701057,0.3651793188899451,0.29023721211347786,8.0,medium
user089,2025-12-31,-0.13950990727184248,-0.0590935926632663,0.10433280805188833,0.35956701387805506,0.2319499109649717,10.0,medium
user090,2025-12-31,-0.12310248435802268,-0.40343304221377907,0.16206089518257524,0.048682018123686686,0.10537145665313097,19.0,low
user096,2025-12-31,-0.06743520316005963,0.07089666502767611,0.35792137102962046,0.4769280097299975,0.417424690379809,3.0,high
user107,2025-12-31,-0.13733049369777361,-0.4063918961435211,0.112000884711976,0.046010632975727585,0.07900575884385179,24.0,low
