date,total,critical,high,medium,low,top_entity,top_score
2025-12-02,33,2,5,10,16,user040,0.8964215888344158
2025-12-03,32,2,5,9,16,user054,0.7739173424848622
2025-12-04,33,2,5,10,16,user089,0.8879399470286817
2025-12-05,33,2,5,10,16,user044,0.9710623796528428
2025-12-06,32,2,5,9,16,user040,0.8089925446152891
2025-12-07,32,2,5,9,16,user011,0.8207363178375835
2025-12-08,34,2,5,10,17,user019,1.0
2025-12-09,34,2,5,10,17,user019,0.9712140053972937
2025-12-10,32,2,5,9,16,user042,0.7071268408884392
2025-12-11,33,2,5,10,16,user022,0.818754871781839
2025-12-12,34,2,5,10,17,user019,0.929232379932281
2025-12-13,33,2,5,10,16,user056,0.8607198658587591
2025-12-14,30,2,4,9,15,user019,0.8678597464621336
2025-12-15,33,2,5,10,16,user019,1.0
2025-12-16,34,2,5,10,17,user022,0.9131678411284588
2025-12-17,34,2,5,10,17,user044,0.7974093213682605
2025-12-18,34,2,5,10,17,user044,0.7262517123082228
2025-12-19,33,2,5,10,16,user107,0.9645580725704417
2025-12-20,32,2,5,9,16,user090,0.8935038962919957
2025-12-21,28,2,4,8,14,user003,0.9685377252269175
2025-12-22,33,2,5,10,16,user107,0.918669843525376
2025-12-23,34,2,5,10,17,user003,0.9023937105803272
2025-12-24,34,2,5,10,17,user022,0.8420375971389081
2025-12-25,34,2,5,10,17,user044,1.0
2025-12-26,33,2,5,10,16,user004,0.7226569938037259
2025-12-27,32,2,5,9,16,user051,0.8154898861722865
2025-12-28,27,2,4,8,13,user027,1.0
2025-12-29,33,2,5,10,16,user003,1.0
2025-12-30,33,2,5,10,16,user051,1.0
2025-12-31,31,2,5,9,15,user051,0.9132035612897703
