user_name,userXXX
a.kostina,user001
a.zaitsev,user002
a.zinchenko,user003
adm.a.zinchenko,user004
iv.kuznecov,user005
a.avakian,user006
local service,user007
a.balakina,user008
a.berezhnoy,user009
a.bryutov,user010
a.gulay,user011
as.anisimov,user012
e.arkhireeva,user013
e.borisenko,user014
ev.bobrova,user015
i.gudkova,user016
i.volosov,user017
iyu.voronov,user018
l.bobovskaia,user019
m.abramenko,user020
svc.pss-synccontacts,user021
m.gitalova,user022
o.ageeva,user023
p.agasian,user024
s.buvalets,user025
dwm-1,user026
dwm-3,user027
host/tmtp-000023-nb.uclh.local,user028
ksnproxy,user029
lenovo_tmp_cxsuzlun,user030
lenovo_tmp_iajwlibr,user031
network service,user032
umfd-0,user033
umfd-1,user034
umfd-3,user035
система,user036
dwm-10,user037
dwm-5,user038
dwm-6,user039
dwm-7,user040
dwm-8,user041
dwm-9,user042
k.petrov,user043
svc.com-mpatrol,user044
dg.butkevich,user045
umfd-10,user046
v.vlasov,user047
dwm-4,user048
umfd-4,user049
umfd-5,user050
dwm-2,user051
umfd-2,user052
umfd-6,user053
v.gavryushev,user054
e.butakova,user055
a.yashin,user056
dwm-11,user057
dwm-12,user058
dwm-13,user059
dwm-14,user060
umfd-11,user061
umfd-12,user062
umfd-13,user063
umfd-14,user064
v.bashlykov,user065
dwm-26,user066
k.chernyaev,user067
umfd-26,user068
